id,address,at_street,description,latitude,longitude,municipality,name,on_street
"place-FB-0230","9 Rockwood Rd, Norfolk, MA 02056",,,"42.120694","-71.325217","Norfolk","Norfolk",
"4048",,"McAuliffe Road",,"42.177387","-71.031958","Randolph","North St @ McAuliffe Rd","North Street"
"3644",,"Parnell Street",,"42.254364","-70.934318","Weymouth","River St @ Parnell St","River Street"
"3470",,"Forbes Road",,"42.262584","-71.061308","Milton","Adams St @ Forbes Rd","Adams Street"
"6700",,"Kings Hill Drive",,"42.468099","-70.985916","Lynn","O'Callaghan Way @ Kings Hill Dr","O'Callaghan Way"
"node-939-entrance",,,"Courthouse - Top of elevator between Thomson Place and lobby",,,"Boston","Courthouse",
"247","Northern Ave and Harbor St, Boston, MA 02210","Harbor Street","Northern Ave @ Harbor St - Silver Line - SL2 Design Center","42.346634","-71.035301","Boston","Northern Ave @ Harbor St","Northern Avenue"
"3632",,"Sumner Street",,"42.248996","-70.986294","Quincy","Washington St @ Edison St","Washington Street"
"8284",,"Nonantum Road",,"42.364331","-71.186377","Watertown","Watertown St @ Galen St","Watertown Street"
"45211",,,,"42.456007","-70.973048","Lynn","Western Ave opp Ida St","Western Avenue"
"node-434-entrance",,,"Maverick - Top of escalator from Maverick Square to lobby",,,"Boston","Maverick",
"8907",,"Lincoln Street",,"42.39093","-71.238814","Waltham","Lexington St opp Lincoln St","Lexington Street"
"door-newtn-hyde",,,"Newton Highlands - Hyde St","42.323468","-71.20433","Newton","Newton Highlands - Hyde St",
"8533",,"Ramp - Parker Street To Rt 9 Westbound",,"42.319313","-71.194398","Newton","Parker St @ Boylston St","Parker Street"
"node-mlmnl-exitstair-platform",,,"Malden Center - Top of stairs to exit-only gates",,,"Malden","Malden Center",
"61916",,"Sears Road",,"42.318332","-71.140678","Brookline","Lee St @ Sears Rd","Lee Street"
"node-144-platform",,,"Back Bay - Bottom of Track 2 escalator",,,"Boston","Back Bay",
"2201",,"George Street",,"42.411792","-71.183709","Arlington","West Service Rd @ Cedar St","Frontage Road"
"7105",,"Frankwood Avenue",,"42.577621","-70.890031","Beverly","Dodge St opp Shopping Ctr","Dodge Street"
"11384",,"Stuart Street",,"42.347346","-71.075956","Boston","Dartmouth St @ Back Bay Sta","Dartmouth Street"
"door-chncl-ogessex",,,"Chinatown - Washington St, Essex St","42.352252","-71.062519","Boston","Chinatown - Washington St, Essex St",
